Date,Type,Weather,Model_Type,Infrastructural impact,Agricultural impact,Ecological impact,Economic impact,Societal impact,Human Health impact,Political impact
18880927,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
18880927,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
18890408,historical,snow,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18890408,historical,snow,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18890805,historical,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,1,1
18890805,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,1,1,1,1,1
18900206,historical,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18900206,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,0,1
18901203,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,0,0
18901203,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,0,0
18910127,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,0,0
18910127,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,0
18910310,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
18910310,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
18910908,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18910908,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18911214,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,1,0
18911214,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,1,1,0
18920223,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18920223,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18920615,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18920615,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18930314,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,0
18930314,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
18930710,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,0
18930710,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,0
18930830,historical,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18930830,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18940213,historical,snow,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18940213,historical,snow,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18940213,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18940213,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
18940213,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18940213,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18940217,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,0,0,0,0,0,0,0
18940217,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,0
18940410,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,0,0
18940410,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,1,0,0
18940612,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,0,1
18940612,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,0,1,1,1,1
18950417,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,0,0
18950417,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,0,1
18950515,historical,ice,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,0,1
18950515,historical,ice,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,0,1
18950515,historical,snow,meta-llama/Meta-Llama-3-8B-Instruct,0,1,1,1,1,0,0
18950515,historical,snow,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,0
18950819,historical,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18950819,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,0,1,1,1,1
18950819,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
18950819,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18951011,historical,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,1,1
18951011,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18960101,historical,ice,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
18960101,historical,ice,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
18961014,historical,storm,meta-llama/Meta-Llama-3-8B-Instruct,0,1,1,1,1,1,1
18961014,historical,storm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18961023,historical,torrential,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,0,0
18961023,historical,torrential,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18970625,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,0,1
18970625,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,1,0,0
18971130,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,0,1
18971130,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18971227,historical,torrential,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,0,0
18971227,historical,torrential,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,1,1,1,0
18980207,historical,snow,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,1,1
18980207,historical,snow,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,0,1,1,1,1
18980321,historical,ice,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,0,1
18980321,historical,ice,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,0,1
18980623,historical,rain,meta-llama/Meta-Llama-3-8B-Instruct,0,1,0,1,0,0,1
18980623,historical,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,1,1,0,0,1
18981019,historical,torrential,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,1,0
18981019,historical,torrential,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,1,0,0
18981124,historical,snow,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,0,1
18981124,historical,snow,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,0,1,1,1,1
18981124,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,1,1
18981124,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,1,1,0,1
18981128,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,0,0,0
18981128,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,1,0,1
18981128,historical,snow,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
18981128,historical,snow,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
18990109,historical,snowstorm,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,0,1
18990109,historical,snowstorm,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,0,0
18990114,historical,torrential,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
18990114,historical,torrential,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
18990510,historical,flood,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,0,1
18990510,historical,flood,mistralai/Mixtral-8x7B-Instruct-v0.1,0,1,0,1,1,0,1
18990925,historical,torrential,meta-llama/Meta-Llama-3-8B-Instruct,0,0,0,0,0,0,0
18990925,historical,torrential,mistralai/Mixtral-8x7B-Instruct-v0.1,0,0,0,0,0,0,0
19930731,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
19930731,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
19960724,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
19960724,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
19980109,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
19980109,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
19980114,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
19980114,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
19980124,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
19980124,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
19980912,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
19980912,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
19990108,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,0,1,1,1,1
19990108,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,0,1,1,1,1
20000715,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
20000715,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
20001106,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,1,1
20001106,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,0,1,1,1,1
20040906,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
20040906,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
20061203,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,1,1
20061203,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,1,1
20070626,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,1,1,1,1,1
20070626,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,1,1,1,1,1,1
20080105,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,1,0,1,1,1,1
20080424,modern,rain,meta-llama/Meta-Llama-3-8B-Instruct,1,0,1,1,1,0,1
20080424,modern,rain,mistralai/Mixtral-8x7B-Instruct-v0.1,1,0,1,1,1,0,1
