Infrastructural Impact,Political Impact,Financial impact,Ecological Impact,Agricultural Impact,Human Health Impact,Date,ID,LabelledBy,Weather,Type
1,0,1,0,1,0,18981124,59,Micheal,snowstorm,historical
1,0,1,0,0,0,18871229,60,Micheal,snowstorm,historical
1,0,0,1,0,1,18840128,61,Micheal,storm,historical
1,0,0,0,0,0,18840303,62,Micheal,snowstorm,historical
1,0,1,1,0,1,18940213,63,Micheal,snowstorm,historical
1,0,0,1,0,0,18910127,64,Micheal,snowstorm,historical
1,0,1,0,0,0,18940410,65,Micheal,snowstorm,historical
1,0,0,0,1,1,18940217,66,Micheal,snowstorm,historical
1,1,1,0,0,0,18981128,67,Micheal,flood,historical
1,1,1,1,0,1,18860423,68,Micheal,flood,historical
1,0,1,1,1,1,18860125,69,Micheal,flood,historical
1,0,1,0,1,0,18970625,70,Micheal,flood,historical
1,0,1,1,1,1,18930314,71,Micheal,flood,historical
1,1,1,0,0,0,18860426,72,Micheal,flood,historical
1,0,1,1,1,0,18850427,73,Micheal,flood,historical
1,1,1,1,0,0,18830607,74,Micheal,flood,historical
1,0,1,1,0,1,18971130,75,Micheal,flood & storm,historical
1,0,1,1,1,1,18940612,76,Micheal,flood,historical
1,1,1,1,0,1,18880927,77,Micheal,flood,historical
0,1,1,1,1,0,18990510,78,Micheal,snow & cold,historical
1,0,1,0,0,0,18950417,79,Micheal,flood,historical
1,1,1,1,0,1,18870423,80,Micheal,flood,historical
1,1,1,1,0,0,18860116,81,Micheal,flood,historical
1,1,1,1,1,0,19980109,82,Angela,freezing,modern
1,1,0,0,0,0,20001106,83,Angela,rain,modern
1,1,0,1,0,1,19980124,84,Angela,rain,modern
1,0,1,0,0,1,20040906,85,Angela,rain & earthquake & storm,modern
1,1,1,0,0,0,20080424,86,Angela,rain,modern
1,1,1,0,0,0,19980114,87,Angela,freezing,modern
1,1,1,0,0,1,19960724,88,Angela,rain,modern
1,0,0,0,1,1,19930731,89,Angela,rain,modern
1,0,0,0,0,1,20000715,90,Angela,rain,modern
1,0,1,0,0,1,20070626,91,Angela,rain,modern
1,1,1,0,0,1,20061203,92,Angela,storm,modern
1,0,0,0,0,1,19990108,93,Angela,rain,modern
1,1,0,0,0,1,19980912,94,Angela,rain,modern
1,1,1,1,1,1,20080105,95,Angela,rain,modern
1,0,1,0,0,1,19951006,96,Angela,storm,modern
1,0,1,0,0,1,20020821,97,Angela,rain,modern
1,1,1,0,1,0,19901112,98,Angela,rain,modern
0,1,1,1,0,0,19901222,99,Angela,Drought,modern
0,1,0,0,1,0,19931113,100,Angela,Drought,modern
0,1,0,1,1,1,19900422,101,Angela,Drought,modern
0,0,0,0,1,1,19910317,102,Angela,Drought,modern
0,1,1,0,0,0,19950630,103,Angela,Drought,modern
1,1,0,1,1,0,19990522,104,Angela,Drought,modern
1,0,1,1,1,1,19970419,105,Angela,Drought,modern
1,1,1,0,1,1,19980502,106,Angela,Drought & flood,modern
0,1,1,0,1,1,19920330,107,Angela,Drought,modern
1,0,0,1,1,1,19980404,108,Angela,Drought & tornado,modern
0,0,0,1,1,0,19921010,109,Angela,Drought,modern
0,0,0,1,1,0,19940219,110,Angela,Drought,modern
1,0,1,0,0,1,19900624,111,Angela,Floods,modern
0,1,0,1,1,1,19900422,112,Angela,Floods,modern
1,0,0,0,0,1,19900616,113,Angela,Floods,modern
0,1,0,1,0,0,19901215,114,Angela,Floods,modern
1,0,0,1,1,1,19900421,115,Angela,Floods,modern
1,0,1,0,1,1,19900513,116,Angela,storm,modern
0,0,0,0,0,1,19930711,117,Angela,Heatwaves,modern
1,0,1,0,0,1,20070626,118,Angela,Heatwaves,modern
1,1,0,0,1,1,20060802,119,Angela,Floods,modern
1,0,0,0,0,0,20030628,120,Angela,Heatwaves,modern
0,0,0,0,0,1,19950618,121,Angela,Heatwaves,modern
0,0,0,0,0,0,20020819,122,Angela,Heatwaves,modern
0,0,0,0,0,0,19930708,123,Angela,Heatwaves,modern
0,0,0,0,0,0,19950614,124,Angela,Heatwaves,modern
1,0,1,0,0,0,19901205,125,Angela,Snowstorm,modern
0,0,0,0,0,0,20090108,126,Angela,Snowstorm & freezing,modern
0,0,0,0,0,0,20000413,127,Angela,Snowstorm,modern
1,0,0,0,0,0,19910302,128,Angela,Snowstorm,modern
0,1,0,0,0,0,19930318,129,Angela,Snowstorm,modern
1,0,0,0,0,0,19970625,130,Angela,Snowstorm,modern
1,0,1,0,0,0,20080109,131,Angela,Snowstorm,modern
0,0,0,0,0,0,19940318,132,Angela,Snowstorm,modern
1,1,0,0,0,0,19990117,133,Angela,Snowstorm,modern
1,0,0,0,0,1,19951231,134,Angela,Snowstorm,modern
1,0,1,0,0,0,19980109,135,Angela,Snowstorm,modern
1,0,0,0,0,0,19931226,136,Angela,Snowstorm,modern
1,1,0,0,0,0,20071222,137,Angela,Snowstorm,modern
1,0,1,0,1,1,19990710,138,Angela,volcano,modern
0,0,0,0,1,0,18801116,139,Angela,blizzard,historical
1,0,0,0,0,0,18861119,140,Angela,blizzard,historical
1,0,0,1,0,0,18890913,141,Angela,blizzard,historical
1,0,0,0,0,1,18891130,142,Angela,blizzard,historical
1,0,0,0,1,0,18911207,143,Angela,blizzard,historical
1,0,0,0,0,0,18921228,144,Angela,blizzard,historical
1,0,0,0,0,1,18941228,145,Angela,storm,historical
1,0,0,0,0,1,18981128,146,Angela,blizzard,historical
0,0,0,0,1,0,18800315,147,Angela,cold,historical
0,0,0,0,0,0,18851208,148,Angela,cold,historical
0,0,0,0,0,1,18920208,149,Angela,cold,historical
0,0,0,0,0,0,18950430,150,Angela,cold,historical
0,0,0,0,0,0,18980824,151,Angela,cold,historical
1,0,1,0,0,1,18820408,152,Angela,hurricane,historical
1,1,1,0,1,1,18830131,153,Angela,deluge,historical
0,0,0,0,1,0,18870923,154,Angela,deluge,historical
1,0,1,0,1,1,18900428,155,Angela,hail,historical
0,0,1,0,0,0,18920621,156,Angela,deluge,historical
1,0,1,0,0,1,18960529,157,Angela,storm,historical
0,0,1,0,0,0,18811107,158,Angela,drought,historical
0,0,0,0,1,0,18821017,159,Angela,drought,historical
0,0,0,0,1,0,18830818,160,Angela,drought,historical
0,0,0,0,1,0,18830904,161,Angela,drought,historical
0,0,0,0,1,0,18860713,162,Angela,drought,historical
0,0,0,0,1,0,18880721,163,Angela,drought,historical
0,0,0,0,0,0,18890925,164,Angela,drought,historical
0,1,1,0,1,1,18900212,165,Xianda,drought,historical
0,0,1,0,1,0,18910606,166,Xianda,drought,historical
0,0,0,0,1,0,18930711,167,Xianda,drought,historical
0,0,0,0,0,0,18950108,168,Xianda,drought,historical
0,0,0,0,0,0,18810326,169,Xianda,freezing,historical
0,0,0,0,0,0,18870425,170,Xianda,freezing,historical
0,0,0,0,0,0,18870811,171,Xianda,freezing,historical
1,0,1,0,1,1,18880118,172,Xianda,freezing,historical
1,0,0,0,0,0,18881213,173,Xianda,freezing,historical
0,0,0,0,0,0,18890128,174,Xianda,freezing,historical
0,0,0,0,0,1,18910915,175,Xianda,freezing,historical
0,0,0,0,0,0,18920818,176,Xianda,,historical
0,0,1,0,0,0,18951116,177,Xianda,freezing,historical
1,1,0,0,0,1,18970109,178,Xianda,freezing,historical
1,0,1,1,0,1,18990214,179,Xianda,freezing,historical
1,0,0,0,0,0,18991204,180,Xianda,freezing,historical
1,0,0,0,0,1,19911204,182,Xianda,ice,modern
0,0,0,0,0,1,19900103,183,Xianda,ice,modern
0,0,0,0,0,0,20090408,184,Xianda,,modern
0,0,0,1,0,1,20020304,185,Xianda,heat,modern
0,0,0,0,0,0,19971122,186,Xianda,,modern
0,0,0,0,0,1,19930112,187,Xianda,ice,modern
1,0,0,0,0,1,19910130,188,Xianda,ice,modern
1,1,0,0,0,0,19981022,189,Xianda,ice,modern
1,0,1,1,0,0,20100125,190,Xianda,ice,modern
1,0,0,0,0,0,19970911,191,Xianda,ice & snow,modern
1,0,0,1,1,1,19900320,192,Xianda,floods,modern
0,0,0,1,0,0,19900816,193,Xianda,ice,modern
1,0,0,0,0,1,19900205,194,Xianda,storm,modern
1,0,0,1,1,1,19900812,195,Xianda,heatwave,modern
1,0,0,0,0,1,19910612,196,Xianda,storm,modern
0,0,0,0,0,0,19910707,197,Xianda,tornado,modern
0,0,0,0,0,0,19911112,198,Xianda,storm,modern
1,0,0,0,0,1,19920204,199,Xianda,blizzard,modern
1,0,0,0,0,0,19920510,200,Xianda,storm,modern
0,0,0,0,1,0,19920813,201,Xianda,storm,modern
1,1,0,0,0,1,19920824,202,Xianda,snow,modern
1,0,0,0,0,1,19920928,203,Xianda,floodings,modern
0,0,0,0,0,0,19930408,204,Xianda,thunder,modern
0,0,0,0,0,0,19900318,205,Xianda,volcano & earthquake,modern
1,0,0,0,1,1,19900408,206,Xianda,floodings,modern
0,0,0,0,0,1,18900620,207,Xianda,thunder,historical
1,0,0,0,1,0,18900410,208,Xianda,storm,historical
0,0,0,1,1,0,18810909,209,Xianda,drrought,historical
1,0,1,0,1,0,18840818,210,Xianda,thunder,historical
0,0,0,0,0,1,18870507,211,Xianda,thunder,historical
1,0,0,0,1,1,18880607,212,Xianda,thunder,historical
1,0,0,0,1,1,18880803,213,Xianda,storm,historical
0,0,0,0,0,1,18890712,214,Xianda,thunder,historical
0,0,0,0,0,0,18900416,215,Xianda,,historical
0,1,0,1,0,0,19920628,216,Xianda,thunder,modern
1,1,1,0,0,0,19970716,217,Xianda,thunder,modern
1,0,0,0,0,0,19980522,218,Xianda,thunder,modern
1,0,0,0,0,0,19900619,219,Xianda,thunder,modern
1,1,0,0,0,1,19900622,220,Xianda,thunder,modern
1,1,1,0,1,1,19970719,221,Xianda,Deluge,modern
1,0,1,0,1,1,19920216,222,Xianda,Deluge,modern
1,1,0,0,0,1,19980816,223,Xianda,Deluge,modern
1,0,0,0,1,1,20001110,224,Xianda,Deluge,modern
1,1,1,0,0,0,19960725,225,Xianda,Deluge,modern
0,0,0,0,1,1,20070722,226,Xianda,Deluge,modern
1,1,0,0,0,0,19930730,227,Xianda,Deluge,modern
1,0,0,1,0,0,19970510,228,Xianda,Deluge,modern
1,0,1,0,0,1,19961204,229,Xianda,Deluge,modern
1,1,1,0,0,0,19961017,230,Xianda,Deluge,modern
1,0,0,0,0,0,20080630,231,Xianda,Deluge,modern
1,1,0,0,0,1,19961228,232,Xianda,Deluge & tornado,modern
1,0,1,0,1,1,20001123,233,Xianda,Deluge,modern
0,0,0,0,0,0,19900129,234,Xianda,cold,modern
1,0,0,1,0,0,19980124,235,Xianda,Freezing,modern
1,0,0,0,0,0,19980107,236,Xianda,Freezing,modern
1,1,0,0,0,0,19980109,237,Xianda,Freezing,modern
1,0,0,0,0,1,19990203,238,Xianda,Freezing,modern
1,0,0,0,1,0,20080105,239,Xianda,Freezing,modern
0,1,0,0,0,0,20071223,240,Xianda,Freezing,modern
0,0,0,0,0,0,19921115,241,Xianda,Freezing,modern
1,1,0,0,0,0,20020201,242,Xianda,Freezing,modern
0,0,0,0,0,0,19980115,243,Xianda,Freezing,modern
0,1,0,0,0,1,19980118,244,Xianda,Freezing,modern
1,0,0,0,0,1,19970106,245,Xianda,Freezing,modern
0,1,1,0,0,0,20070113,246,Xianda,Freezing,modern
0,0,0,0,0,0,18900911,247,Default,rain,historical
0,0,0,0,0,0,18830914,248,Default,rain,historical
0,0,0,0,0,0,18820707,249,Default,rain,historical
0,0,0,0,0,0,18950122,250,Default,rain,historical
0,0,0,0,0,0,18950124,251,Default,snow,historical
0,0,0,0,0,0,18870401,252,Default,snow,historical
0,0,0,0,0,0,18811010,253,Default,snow,historical
0,0,0,0,0,0,18870115,254,Default,snow,historical
0,0,0,0,0,0,18891227,255,Default,snow,historical
0,0,0,0,0,0,18860422,256,Default,ice,historical
0,0,0,0,0,0,18860424,257,Default,ice,historical
0,0,0,0,0,0,18860610,258,Default,ice,historical
0,0,0,0,0,0,18840107,259,Default,ice,historical
0,0,0,0,0,0,18850217,260,Default,ice,historical
0,0,0,0,0,0,18960427,261,Default,ice,historical
0,0,0,0,0,0,18940330,262,Default,ice,historical
0,0,0,0,0,0,18900718,263,Default,torrential,historical
0,0,0,0,0,0,18840527,264,Default,torrential,historical
0,0,0,0,0,0,18921018,265,Default,torrential,historical
0,0,0,0,0,0,18941218,266,Default,torrential,historical
0,0,0,0,0,0,18960728,267,Default,torrential,historical
0,0,0,0,0,0,18970514,268,Default,torrential,historical
0,0,0,0,0,0,18980629,269,Default,torrential,historical
0,0,0,0,0,0,18980802,270,Default,torrential,historical
0,0,0,0,0,0,18990919,271,Default,torrential,historical
0,0,0,0,0,0,18991018,272,Default,torrential,historical
0,0,0,0,0,0,18871229,273,Default,snowstorm,historical
0,0,0,0,0,0,18940216,274,Default,snowstorm,historical
0,0,0,0,0,0,19920709,275,Default,Drought,modern
0,0,0,0,0,0,19950518,276,Default,Drought,modern
0,0,0,0,0,0,19930724,277,Default,Drought,modern
0,0,0,0,0,0,19960726,278,Default,Drought,modern
0,0,0,0,0,0,19901103,279,Default,Floods,modern
0,0,0,0,0,0,20070627,280,Default,Heatwaves,modern
0,0,0,0,0,0,19910825,281,Default,Heatwaves,modern
0,0,0,0,0,0,20050102,282,Default,Heatwaves,modern
0,0,0,0,0,0,19910801,283,Default,Heatwaves,modern
0,0,0,0,0,0,19941118,284,Default,Heatwaves,modern
0,0,0,0,0,0,19900825,285,Default,Snowstorm,modern
0,0,0,0,0,0,20010411,286,Default,Snowstorm,modern
0,0,0,0,0,0,20060103,287,Default,Snowstorm,modern
0,0,0,0,0,0,20101208,288,Default,Snowstorm,modern
0,0,0,0,0,0,18850216,289,Default,blizzard,historical
0,0,0,0,0,0,18880119,290,Default,blizzard,historical
0,0,0,0,0,0,18881219,291,Default,blizzard,historical
0,0,0,0,0,0,18901217,292,Default,blizzard,historical
0,0,0,0,0,0,18920428,293,Default,blizzard,historical
0,0,0,0,0,0,18920722,294,Default,blizzard,historical
0,0,0,0,0,0,18990705,295,Default,blizzard,historical
0,0,0,0,0,0,18821117,296,Default,cold,historical
0,0,0,0,0,0,18850128,297,Default,cold,historical
0,0,0,0,0,0,18850204,298,Default,cold,historical
0,0,0,0,0,0,18861122,299,Default,cold,historical
0,0,0,0,0,0,18880502,300,Default,cold,historical
0,0,0,0,0,0,18910226,301,Default,cold,historical
0,0,0,0,0,0,18910508,302,Default,cold,historical
0,0,0,0,0,0,18910514,303,Default,cold,historical
0,0,0,0,0,0,18960219,304,Default,cold,historical
0,0,0,0,0,0,18960806,305,Default,cold,historical
0,0,0,0,0,0,18800804,306,Default,deluge,historical
0,0,0,0,0,0,18801201,307,Default,deluge,historical
0,0,0,0,0,0,18840213,308,Default,deluge,historical
0,0,0,0,0,0,18880810,309,Default,deluge,historical
0,0,0,0,0,0,18890520,310,Default,deluge,historical
0,0,0,0,0,0,18900120,311,Default,deluge,historical
0,0,0,0,0,0,18941003,312,Default,deluge,historical
0,0,0,0,0,0,18950807,313,Default,deluge,historical
0,0,0,0,0,0,18951104,314,Default,deluge,historical
0,0,0,0,0,0,18840331,315,Default,drought,historical
0,0,0,0,0,0,18871119,316,Default,drought,historical
0,0,0,0,0,0,18890817,317,Default,drought,historical
0,0,0,0,0,0,18920812,318,Default,drought,historical
0,0,0,0,0,0,18951019,319,Default,freezing,historical
0,0,0,0,0,0,18970127,320,Default,freezing,historical
0,0,0,0,0,0,18990517,321,Default,freezing,historical
0,0,0,0,0,0,19900224,322,Default,heat,modern
0,0,0,0,0,0,19900327,323,Default,heat,modern
0,0,0,0,0,0,19900409,324,Default,heat,modern
0,0,0,0,0,0,19900301,325,Default,heat,modern
0,0,0,0,0,0,19900108,326,Default,ice,modern
0,0,0,0,0,0,20070501,327,Default,ice,modern
0,0,0,0,0,0,19920413,328,Default,storm,modern
0,0,0,0,0,0,19930218,329,Default,storm,modern
0,0,0,0,0,0,18800907,330,Default,thunder,historical
0,0,0,0,0,0,18810117,331,Default,thunder,historical
0,0,0,0,0,0,18870613,332,Default,thunder,historical
0,0,0,0,0,0,18870708,333,Default,thunder,historical
0,0,0,0,0,0,18870711,334,Default,thunder,historical
0,0,0,0,0,0,18890522,335,Default,thunder,historical
0,0,0,0,0,0,19910523,336,Default,thunder,modern
0,0,0,0,0,0,19910724,337,Default,thunder,modern
0,0,0,0,0,0,19920616,338,Default,thunder,modern
0,0,0,0,0,0,19930626,339,Default,thunder,modern
0,0,0,0,0,0,19941025,340,Default,thunder,modern
0,0,0,0,0,0,19950717,341,Default,thunder,modern
0,0,0,0,0,0,19960720,342,Default,thunder,modern
0,0,0,0,0,0,19970620,343,Default,thunder,modern
0,0,0,0,0,0,19900323,344,Default,thunder,modern
0,0,0,0,0,0,19900106,345,Default,cold,modern
0,0,0,0,0,0,19900131,346,Default,cold,modern
0,0,0,0,0,0,19900411,347,Default,cold,modern
0,0,0,0,0,0,19900228,348,Default,cold,modern
0,0,0,0,0,0,19900120,349,Default,cold,modern
0,0,0,0,0,0,20000129,350,Default,Freezing,modern
