LabelledBy,ID,Remove,Date,Type,Weather,Infrastructural Impact,Political Impact,Financial Impact,Ecological Impact,Agricultural Impact,Human Health Impact,,
Micheal,38,0,18950515,historical,ice,1,0,0,0,1,0,,
Micheal,39,0,18850404,historical,ice,1,0,1,0,1,1,,
Micheal,40,0,18980321,historical,ice,1,0,1,0,0,0,,
Micheal,41,0,18841107,historical,ice,1,0,1,0,0,1,,
Micheal,42,0,18960101,historical,ice,1,0,1,1,0,0,,
Micheal,43,0,18870822,historical,ice,1,1,1,0,0,0,,
Micheal,44,0,18860419,historical,ice or flood?,1,1,1,1,1,1,,
Micheal,45,0,18860407,historical,ice or flood?,1,1,0,1,0,1,,
Micheal,46,0,18870425,historical,ice or flood?,1,1,1,1,0,1,,
Micheal,47,0,18990114,historical,torrential,1,0,1,0,0,0,,
Micheal,48,0,18981019,historical,torrential,1,0,0,0,0,1,,
Micheal,49,0,18990925,historical,torrential,1,0,0,0,1,0,,
Micheal,50,0,18800623,historical,torrential,1,0,0,0,0,1,,
Micheal,51,0,18961023,historical,torrential,1,0,0,0,0,0,,
Micheal,52,0,18971227,historical,torrential,0,0,1,0,0,0,,
Micheal,53,0,18841107,historical,snowstorm,1,0,1,1,0,1,,
Micheal,54,0,18901203,historical,snowstorm,1,0,0,0,0,0,,
Micheal,55,0,18910310,historical,snowstorm,1,0,1,1,0,1,,
Micheal,56,0,18911214,historical,snowstorm,1,0,1,0,0,1,,
Micheal,57,0,18990109,historical,snowstorm,1,0,0,0,0,0,,
Micheal,58,0,18820222,historical,snowstorm,1,0,1,1,1,0,,
Micheal,59,0,18981124,historical,snowstorm,1,0,1,0,1,0,,
Micheal,60,0,18871229,historical,snowstorm,1,0,1,0,0,0,,
Micheal,61,0,18840128,historical,snowstorm or hurricane?,1,0,0,1,0,1,,
Micheal,62,0,18840303,historical,snowstorm,1,0,0,0,0,0,,
Micheal,63,0,18940213,historical,snowstorm,1,0,1,1,0,1,,
Micheal,64,0,18910127,historical,snowstorm,1,0,0,1,0,0,,
Micheal,65,0,18940410,historical,snowstorm,1,0,1,0,0,0,,
Micheal,66,0,18940217,historical,snowstorm,1,0,0,0,1,1,,
Micheal,67,0,18981128,historical,flood,1,1,1,0,0,0,,
Micheal,68,0,18860423,historical,flood,1,1,1,1,0,1,,
Micheal,69,0,18860125,historical,flood,1,0,1,1,1,1,,
Micheal,70,0,18970625,historical,flood,1,0,1,0,1,0,,
Micheal,71,0,18930314,historical,flood,1,0,1,1,1,1,,
Micheal,72,0,18860426,historical,flood,1,1,1,0,0,0,,
Micheal,73,0,18850427,historical,flood,1,0,1,1,1,0,,
Micheal,74,0,18830607,historical,flood,1,1,1,1,0,0,,
Micheal,75,0,18971130,historical,flood,1,0,1,1,0,1,,
Micheal,76,0,18940612,historical,flood,1,0,1,1,1,1,,
Micheal,77,0,18880927,historical,flood,1,1,1,1,0,1,,
Micheal,78,0,18990510,historical,flood,0,1,1,1,1,0,,
Micheal,79,0,18950417,historical,flood,1,0,1,0,0,0,,
Micheal,80,0,18870423,historical,flood,1,1,1,1,0,1,,
Micheal,81,0,18860116,historical,flood,1,1,1,1,0,0,,
Angela,82,0,19980109,modern,rain,1,1,1,1,1,0,,
Angela,83,0,20001106,modern,rain,1,1,0,0,0,0,,
Angela,84,0,19980124,modern,rain,1,1,0,1,0,1,,
Angela,85,0,20040906,modern,rain,1,0,1,0,0,1,,
Angela,86,0,20080424,modern,rain,1,1,1,0,0,0,,
Angela,87,0,19980114,modern,rain,1,1,1,0,0,0,,
Angela,88,0,19960724,modern,rain,1,1,1,0,0,1,,
Angela,89,0,19930731,modern,rain,1,0,0,0,1,1,,
Angela,90,0,20000715,modern,rain,1,0,0,0,0,1,,
Angela,91,0,20070626,modern,rain,1,0,1,0,0,1,,
Angela,92,0,20061203,modern,rain,1,1,1,0,0,1,,
Angela,93,0,19990108,modern,rain,1,0,0,0,0,1,,
Angela,94,0,19980912,modern,rain,1,1,0,0,0,1,,
Angela,95,0,20080105,modern,rain,1,1,1,1,1,1,,
Angela,96,0,19951006,modern,rain,1,0,1,0,0,1,,
Angela,97,0,20020821,modern,rain,1,0,1,0,0,1,,0
Angela,98,0,19901112,modern,rain,1,1,1,0,1,0,,
Angela,99,0,19901222,modern,Drought,0,1,1,1,0,0,,
Angela,100,0,19931113,modern,Drought,0,1,0,0,1,0,,
Angela,101,0,19900422,modern,Drought,0,1,0,1,1,1,,
Angela,102,0,19910317,modern,Drought,0,0,0,0,1,1,,
Angela,103,0,19950630,modern,Drought,0,1,1,0,0,0,,
Angela,104,0,19990522,modern,Drought,1,1,0,1,1,0,,
Angela,105,0,19970419,modern,Drought,1,0,1,1,1,1,,
Angela,106,0,19980502,modern,Drought,1,1,1,0,1,1,,
Angela,107,0,19920330,modern,Drought,0,1,1,0,1,1,,
Angela,108,0,19980404,modern,Drought,1,0,0,1,1,1,,
Angela,109,0,19921010,modern,Drought,0,0,0,1,1,0,,
Angela,110,0,19940219,modern,Drought,0,0,0,1,1,0,,
Angela,111,0,19900624,modern,Floods,1,0,1,0,0,1,,
Angela,112,0,19900422,modern,Floods,0,1,0,1,1,1,,
Angela,113,0,19900616,modern,Floods,1,0,0,0,0,1,,
Angela,114,0,19901215,modern,Floods,0,1,0,1,0,0,,
Angela,115,0,19900421,modern,Floods,1,0,0,1,1,1,,
Angela,116,0,19900513,modern,Floods,1,0,1,0,1,1,,
Angela,117,0,19930711,modern,Heatwaves,0,0,0,0,0,1,,
Angela,118,0,20070626,modern,Heatwaves,1,0,1,0,0,1,,
Angela,119,0,20060802,modern,Heatwaves,1,1,0,0,1,1,,
Angela,120,0,20030628,modern,Heatwaves,1,0,0,0,0,0,,
Angela,121,0,19950618,modern,Heatwaves,0,0,0,0,0,1,,
Angela,122,0,20020819,modern,Heatwaves,0,0,0,0,0,0,,
Angela,123,0,19930708,modern,Heatwaves,0,0,0,0,0,0,,
Angela,124,0,19950614,modern,Heatwaves,0,0,0,0,0,0,,
Angela,125,0,19901205,modern,Snowstorm,1,0,1,0,0,0,,
Angela,126,0,20090108,modern,Snowstorm,0,0,0,0,0,0,,
Angela,127,0,20000413,modern,Snowstorm,0,0,0,0,0,0,,
Angela,128,0,19910302,modern,Snowstorm,1,0,0,0,0,0,,
Angela,129,0,19930318,modern,Snowstorm,0,1,0,0,0,0,,
Angela,130,0,19970625,modern,Snowstorm,1,0,0,0,0,0,,
Angela,131,0,20080109,modern,Snowstorm,1,0,1,0,0,0,,
Angela,132,0,19940318,modern,Snowstorm,0,0,0,0,0,0,,
Angela,133,0,19990117,modern,Snowstorm,1,1,0,0,0,0,,
Angela,134,0,19951231,modern,Snowstorm,1,0,0,0,0,1,,
Angela,135,0,19980109,modern,Snowstorm,1,0,1,0,0,0,,
Angela,136,0,19931226,modern,Snowstorm,1,0,0,0,0,0,,
Angela,137,0,20071222,modern,Snowstorm,1,1,0,0,0,0,,
Angela,138,0,19990710,modern,Snowstorm,1,0,1,0,1,1,,
Angela,139,0,18801116,historical,blizzard,0,0,0,0,1,0,,
Angela,140,0,18861119,historical,blizzard,1,0,0,0,0,0,,
Angela,141,0,18890913,historical,blizzard,1,0,0,1,0,0,,
Angela,142,0,18891130,historical,blizzard,1,0,0,0,0,1,,
Angela,143,0,18911207,historical,blizzard,1,0,0,0,1,0,,
Angela,144,0,18921228,historical,blizzard,1,0,0,0,0,0,,
Angela,145,0,18941228,historical,blizzard,1,0,0,0,0,1,,
Angela,146,0,18981128,historical,blizzard,1,0,0,0,0,1,,
Angela,147,0,18800315,historical,cold,0,0,0,0,1,0,,
Angela,148,0,18851208,historical,cold,0,0,0,0,0,0,,
Angela,149,0,18920208,historical,cold,0,0,0,0,0,1,,
Angela,150,0,18950430,historical,cold,0,0,0,0,0,0,,
Angela,151,0,18980824,historical,cold,0,0,0,0,0,0,,
Angela,152,0,18820408,historical,deluge,1,0,1,0,0,1,,
Angela,153,0,18830131,historical,deluge,1,1,1,0,1,1,,
Angela,154,0,18870923,historical,deluge,0,0,0,0,1,0,,
Angela,155,0,18900428,historical,deluge,1,0,1,0,1,1,,
Angela,156,0,18920621,historical,deluge,0,0,1,0,0,0,,
Angela,157,0,18960529,historical,deluge,1,0,1,0,0,1,,
Angela,158,0,18811107,historical,drought,0,0,1,0,0,0,,
Angela,159,0,18821017,historical,drought,0,0,0,0,1,0,,
Angela,160,0,18830818,historical,drought,0,0,0,0,1,0,,
Angela,161,0,18830904,historical,drought,0,0,0,0,1,0,,
Angela,162,0,18860713,historical,drought,0,0,0,0,1,0,,
Angela,163,0,18880721,historical,drought,0,0,0,0,1,0,,
Angela,164,0,18890925,historical,drought,0,0,0,0,0,0,,
Xianda,165,0,18900212,historical,drought,0,1,1,0,1,1,,
Xianda,166,0,18910606,historical,drought,0,0,1,0,1,0,,
Xianda,167,0,18930711,historical,drought,0,0,0,0,1,0,,
Xianda,168,0,18950108,historical,drought,0,0,0,0,0,0,,
Xianda,169,0,18810326,historical,freezing,0,0,0,0,0,0,,
Xianda,170,0,18870425,historical,freezing,0,0,0,0,0,0,,
Xianda,171,0,18870811,historical,freezing,0,0,0,0,0,0,,
Xianda,172,0,18880118,historical,freezing,1,0,1,0,1,1,,
Xianda,173,0,18881213,historical,freezing,1,0,0,0,0,0,,
Xianda,174,0,18890128,historical,freezing,0,0,0,0,0,0,,
Xianda,175,0,18910915,historical,freezing,0,0,0,0,0,1,,
Xianda,176,0,18920818,historical,freezing,0,0,0,0,0,0,,
Xianda,177,0,18951116,historical,freezing,0,0,1,0,0,0,,
Xianda,178,0,18970109,historical,freezing,1,1,0,0,0,1,,
Xianda,179,0,18990214,historical,freezing,1,0,1,1,0,1,,
Xianda,180,0,18991204,historical,freezing,1,0,0,0,0,0,,
Xianda,182,0,19911204,modern,ice,1,0,0,0,0,1,,
Xianda,183,0,19900103,modern,ice,0,0,0,0,0,1,,
Xianda,184,0,20090408,modern,ice,0,0,0,0,0,0,,
Xianda,185,0,20020304,modern,ice,0,0,0,1,0,1,,
Xianda,186,0,19971122,modern,ice,0,0,0,0,0,0,,
Xianda,187,0,19930112,modern,ice,0,0,0,0,0,1,,
Xianda,188,0,19910130,modern,ice,1,0,0,0,0,1,,
Xianda,189,0,19981022,modern,ice,1,1,0,0,0,0,,
Xianda,190,0,20100125,modern,ice,1,0,1,1,0,0,,
Xianda,191,0,19970911,modern,ice,1,0,0,0,0,0,,
Xianda,192,0,19900320,modern,ice,1,0,0,1,1,1,,
Xianda,193,0,19900816,modern,ice,0,0,0,1,0,0,,
Xianda,194,0,19900205,modern,storm,1,0,0,0,0,1,,
Xianda,195,0,19900812,modern,storm,1,0,0,1,1,1,,
Xianda,196,0,19910612,modern,storm,1,0,0,0,0,1,,
Xianda,197,0,19910707,modern,storm,0,0,0,0,0,0,,
Xianda,198,0,19911112,modern,storm,0,0,0,0,0,0,,
Xianda,199,0,19920204,modern,storm,1,0,0,0,0,1,,
Xianda,200,0,19920510,modern,storm,1,0,0,0,0,0,,
Xianda,201,0,19920813,modern,storm,0,0,0,0,1,0,,
Xianda,202,0,19920824,modern,storm,1,1,0,0,0,1,,
Xianda,203,0,19920928,modern,storm,1,0,0,0,0,1,,
Xianda,204,0,19930408,modern,storm,0,0,0,0,0,0,,
Xianda,205,0,19900318,modern,storm,0,0,0,0,0,0,,
Xianda,206,0,19900408,modern,storm,1,0,0,0,1,1,,
Xianda,207,0,18900620,historical,thunder,0,0,0,0,0,1,,
Xianda,208,0,18900410,historical,thunder,1,0,0,0,1,0,,
Xianda,209,0,18810909,historical,thunder,0,0,0,1,1,0,,
Xianda,210,0,18840818,historical,thunder,1,0,1,0,1,0,,
Xianda,211,0,18870507,historical,thunder,0,0,0,0,0,1,,
Xianda,212,0,18880607,historical,thunder,1,0,0,0,1,1,,
Xianda,213,0,18880803,historical,thunder,1,0,0,0,1,1,,
Xianda,214,0,18890712,historical,thunder,0,0,0,0,0,1,,
Xianda,215,0,18900416,historical,thunder,0,0,0,0,0,0,,
Xianda,216,0,19920628,modern,thunder,0,1,0,1,0,0,,
Xianda,217,0,19970716,modern,thunder,1,1,1,0,0,0,,
Xianda,218,0,19980522,modern,thunder,1,0,0,0,0,0,,
Xianda,219,0,19900619,modern,thunder,1,0,0,0,0,0,,
Xianda,220,0,19900622,modern,thunder,1,1,0,0,0,1,,
Xianda,221,0,19970719,modern,Deluge,1,1,1,0,1,1,,
Xianda,222,0,19920216,modern,Deluge,1,0,1,0,1,1,,
Xianda,223,0,19980816,modern,Deluge,1,1,0,0,0,1,,
Xianda,224,0,20001110,modern,Deluge,1,0,0,0,1,1,,
Xianda,225,0,19960725,modern,Deluge,1,1,1,0,0,0,,
Xianda,226,0,20070722,modern,Deluge,0,0,0,0,1,1,,
Xianda,227,0,19930730,modern,Deluge,1,1,0,0,0,0,,
Xianda,228,0,19970510,modern,Deluge,1,0,0,1,0,0,,
Xianda,229,0,19961204,modern,Deluge,1,0,1,0,0,1,,
Xianda,230,0,19961017,modern,Deluge,1,1,1,0,0,0,,
Xianda,231,0,20080630,modern,Deluge,1,0,0,0,0,0,,
Xianda,232,0,19961228,modern,Deluge,1,1,0,0,0,1,,
Xianda,233,0,20001123,modern,Deluge,1,0,1,0,1,1,,
Xianda,234,0,19900129,modern,cold,0,0,0,0,0,0,,
Xianda,235,0,19980124,modern,Freezing,1,0,0,1,0,0,,
Xianda,236,0,19980107,modern,Freezing,1,0,0,0,0,0,,
Xianda,237,0,19980109,modern,Freezing,1,1,0,0,0,0,,
Xianda,238,0,19990203,modern,Freezing,1,0,0,0,0,1,,
Xianda,239,0,20080105,modern,Freezing,1,0,0,0,1,0,,
Xianda,240,0,20071223,modern,Freezing,0,1,0,0,0,0,,
Xianda,241,0,19921115,modern,Freezing,0,0,0,0,0,0,,
Xianda,242,0,20020201,modern,Freezing,1,1,0,0,0,0,,
Xianda,243,0,19980115,modern,Freezing,0,0,0,0,0,0,,
Xianda,244,0,19980118,modern,Freezing,0,1,0,0,0,1,, 
Xianda,245,0,19970106,modern,Freezing,1,0,0,0,0,1,,
Xianda,246,0,20070113,modern,Freezing,0,1,1,0,0,0,,
Angela,247,1,18900911,historical,rain,0,0,0,0,0,0,,
Angela,248,1,18830914,historical,rain,0,0,0,0,0,0,,
Angela,249,1,18820707,historical,rain,0,0,0,0,0,0,,
Angela,250,1,18950122,historical,rain,0,0,0,0,0,0,,
Angela,251,1,18950124,historical,snow,0,0,0,0,0,0,,
Angela,252,1,18870401,historical,snow,0,0,0,0,0,0,,
Angela,253,1,18811010,historical,snow,0,0,0,0,0,0,,
Angela,254,1,18870115,historical,snow,0,0,0,0,0,0,,
Angela,255,1,18891227,historical,snow,0,0,0,0,0,0,,
Angela,256,1,18860422,historical,ice,0,0,0,0,0,0,,
Angela,257,1,18860424,historical,ice,0,0,0,0,0,0,,
Angela,258,1,18860610,historical,ice,0,0,0,0,0,0,,
Angela,259,1,18840107,historical,ice,0,0,0,0,0,0,,
Angela,260,1,18850217,historical,ice,0,0,0,0,0,0,,
Angela,261,1,18960427,historical,ice,0,0,0,0,0,0,,
Angela,262,1,18940330,historical,ice,0,0,0,0,0,0,,
Angela,263,1,18900718,historical,torrential,0,0,0,0,0,0,,
Angela,264,1,18840527,historical,torrential,0,0,0,0,0,0,,
Angela,265,1,18921018,historical,torrential,0,0,0,0,0,0,,
Angela,266,1,18941218,historical,torrential,0,0,0,0,0,0,,
Angela,267,1,18960728,historical,torrential,0,0,0,0,0,0,,
Angela,268,1,18970514,historical,torrential,0,0,0,0,0,0,,
Angela,269,1,18980629,historical,torrential,0,0,0,0,0,0,,
Angela,270,1,18980802,historical,torrential,0,0,0,0,0,0,,
Angela,271,1,18990919,historical,torrential,0,0,0,0,0,0,,
Angela,272,1,18991018,historical,torrential,0,0,0,0,0,0,,
Angela,273,1,18871229,historical,snowstorm,0,0,0,0,0,0,,
Angela,274,1,18940216,historical,snowstorm,0,0,0,0,0,0,,
Michael,275,1,19920709,modern,Drought,0,0,0,0,0,0,,
Michael,276,1,19950518,modern,Drought,0,0,0,0,0,0,,
Michael,277,1,19930724,modern,Drought,0,0,0,0,0,0,,
Michael,278,1,19960726,modern,Drought,0,0,0,0,0,0,,
Michael,279,1,19901103,modern,Floods,0,0,0,0,0,0,,
Michael,280,1,20070627,modern,Heatwaves,0,0,0,0,0,0,,
Michael,281,1,19910825,modern,Heatwaves,0,0,0,0,0,0,,
Michael,282,1,20050102,modern,Heatwaves,0,0,0,0,0,0,,
Michael,283,1,19910801,modern,Heatwaves,0,0,0,0,0,0,,
Michael,284,1,19941118,modern,Heatwaves,0,0,0,0,0,0,,
Michael,285,1,19900825,modern,Snowstorm,0,0,0,0,0,0,,
Michael,286,1,20010411,modern,Snowstorm,0,0,0,0,0,0,,
Michael,287,1,20060103,modern,Snowstorm,0,0,0,0,0,0,,
Michael,288,1,20101208,modern,Snowstorm,0,0,0,0,0,0,,
Xianda,289,1,18850216,historical,blizzard,0,0,0,0,0,0,,
Xianda,290,1,18880119,historical,blizzard,0,0,0,0,0,0,,
Xianda,291,1,18881219,historical,blizzard,0,0,0,0,0,0,,
Xianda,292,1,18901217,historical,blizzard,0,0,0,0,0,0,,
Xianda,293,1,18920428,historical,blizzard,0,0,0,0,0,0,,
Xianda,294,1,18920722,historical,blizzard,0,0,0,0,0,0,,
Xianda,295,1,18990705,historical,blizzard,0,0,0,0,0,0,,
Xianda,296,1,18821117,historical,cold,0,0,0,0,0,0,,
Xianda,297,1,18850128,historical,cold,0,0,0,0,0,0,,
Xianda,298,1,18850204,historical,cold,0,0,0,0,0,0,,
Xianda,299,1,18861122,historical,cold,0,0,0,0,0,0,,
Xianda,300,1,18880502,historical,cold,0,0,0,0,0,0,,
Xianda,301,1,18910226,historical,cold,0,0,0,0,0,0,,
Xianda,302,1,18910508,historical,cold,0,0,0,0,0,0,,
Xianda,303,1,18910514,historical,cold,0,0,0,0,0,0,,
Xianda,304,1,18960219,historical,cold,0,0,0,0,0,0,,
Xianda,305,1,18960806,historical,cold,0,0,0,0,0,0,,
Xianda,306,1,18800804,historical,deluge,0,0,0,0,0,0,,
Xianda,307,1,18801201,historical,deluge,0,0,0,0,0,0,,
Xianda,308,1,18840213,historical,deluge,0,0,0,0,0,0,,
Xianda,309,1,18880810,historical,deluge,0,0,0,0,0,0,,
Xianda,310,1,18890520,historical,deluge,0,0,0,0,0,0,,
Xianda,311,1,18900120,historical,deluge,0,0,0,0,0,0,,
Xianda,312,1,18941003,historical,deluge,0,0,0,0,0,0,,
Xianda,313,1,18950807,historical,deluge,0,0,0,0,0,0,,
Xianda,314,1,18951104,historical,deluge,0,0,0,0,0,0,,
Xianda,315,1,18840331,historical,drought,0,0,0,0,0,0,,
Xianda,316,1,18871119,historical,drought,0,0,0,0,0,0,,
Xianda,317,1,18890817,historical,drought,0,0,0,0,0,0,,
Xianda,318,1,18920812,historical,drought,0,0,0,0,0,0,,
Xianda,319,1,18951019,historical,freezing,0,0,0,0,0,0,,
Xianda,320,1,18970127,historical,freezing,0,0,0,0,0,0,,
Xianda,321,1,18990517,historical,freezing,0,0,0,0,0,0,,
Xianda,322,1,19900224,modern,heat,0,0,0,0,0,0,,
Xianda,323,1,19900327,modern,heat,0,0,0,0,0,0,,
Xianda,324,1,19900409,modern,heat,0,0,0,0,0,0,,
Xianda,325,1,19900301,modern,heat,0,0,0,0,0,0,,
Xianda,326,1,19900108,modern,ice,0,0,0,0,0,0,,
Xianda,327,1,20070501,modern,ice,0,0,0,0,0,0,,
Xianda,328,1,19920413,modern,storm,0,0,0,0,0,0,,
Xianda,329,1,19930218,modern,storm,0,0,0,0,0,0,,
Xianda,330,1,18800907,historical,thunder,0,0,0,0,0,0,,
Xianda,331,1,18810117,historical,thunder,0,0,0,0,0,0,,
Xianda,332,1,18870613,historical,thunder,0,0,0,0,0,0,,
Xianda,333,1,18870708,historical,thunder,0,0,0,0,0,0,,
Xianda,334,1,18870711,historical,thunder,0,0,0,0,0,0,,
Xianda,335,1,18890522,historical,thunder,0,0,0,0,0,0,,
Xianda,336,1,19910523,modern,thunder,0,0,0,0,0,0,,
Xianda,337,1,19910724,modern,thunder,0,0,0,0,0,0,,
Xianda,338,1,19920616,modern,thunder,0,0,0,0,0,0,,
Xianda,339,1,19930626,modern,thunder,0,0,0,0,0,0,,
Xianda,340,1,19941025,modern,thunder,0,0,0,0,0,0,,
Xianda,341,1,19950717,modern,thunder,0,0,0,0,0,0,,
Xianda,342,1,19960720,modern,thunder,0,0,0,0,0,0,,
Xianda,343,1,19970620,modern,thunder,0,0,0,0,0,0,,
Xianda,344,1,19900323,modern,thunder,0,0,0,0,0,0,,
Michael,345,1,19900106,modern,cold,0,0,0,0,0,0,,
Michael,346,1,19900131,modern,cold,0,0,0,0,0,0,,
Michael,347,1,19900411,modern,cold,0,0,0,0,0,0,,
Michael,348,1,19900228,modern,cold,0,0,0,0,0,0,,
Michael,349,1,19900120,modern,cold,0,0,0,0,0,0,,
Michael,350,1,20000129,modern,Freezing,0,0,0,0,0,0,,
