Model_Type,Type,Version,Shot,Metric,Infrastructural impact,Political impact,Financial impact,Ecological impact,Agricultural impact,Human health impact
deepseek_chat,modern,1300,oneshot,Accuracy,80,79.3333,80,76,88,75.3333
gemma_2-9b,modern,1300,oneshot,Accuracy,68,60.6667,43.3333,53.3333,78.6667,66
gpt_3.5_turbo,modern,1300,oneshot,Accuracy,72.6667,70.6667,52.6667,70,85.3333,69.3333
gpt_4o,modern,1300,oneshot,Accuracy,76,70.6667,76.6667,77.3333,90.6667,81.3333
gpt_4,modern,1300,oneshot,Accuracy,65.3333,62,58.6667,77.3333,84,68.6667
llama,modern,1300,oneshot,Accuracy,76.6667,54,52.6667,64.6667,77.3333,66.6667
Mistral-Small-24B,modern,1300,oneshot,Accuracy,73.3333,70.6667,72.6667,72,85.3333,69.3333
mixtral,modern,1300,oneshot,Accuracy,69.3333,67.3333,68,74,77.3333,64.6667
Qwen_2.5_7B,modern,1300,oneshot,Accuracy,71.3333,72,58.6667,62.6667,79.3333,62.6667
,,,,,,,,,,
deepseek_chat,historical,350,zeroshot,Accuracy,82.5,91.5,75,81,79.5,79.5
gemma_2-9b,historical,350,zeroshot,Accuracy,76,69.5,60,73.5,67.5,70
gpt_3.5_turbo,historical,350,zeroshot,Accuracy,82,87,63.5,76.5,76,71
gpt_4o,historical,350,zeroshot,Accuracy,81.5,92.5,76,80.5,80.5,79
gpt_4,historical,350,zeroshot,Accuracy,81,85,60,81,77,73
llama,historical,350,zeroshot,Accuracy,78,64.5,63.5,80,72.5,68.5
Mistral-Small-24B,historical,350,zeroshot,Accuracy,78.8945,80.5,64.5,77,79,67.5
mixtral,historical,350,zeroshot,Accuracy,79,83.5,68,85,75.5,71
Qwen_2.5_7B,historical,350,zeroshot,Accuracy,80,83.5,67,77.5,73,70
deepseek_chat,historical,1300,zeroshot,Accuracy,82.5,93,77.5,80.5,81.5,81.5
gemma_2-9b,historical,1300,zeroshot,Accuracy,77,68.5,60,71.5,69,68.5
gpt_3.5_turbo,historical,1300,zeroshot,Accuracy,83.5,86.5,66.5,76,77.5,73
gpt_4o,historical,1300,zeroshot,Accuracy,82,94,75.5,81.5,80.5,79.5
gpt_4,historical,1300,zeroshot,Accuracy,81.5,82,60,80,77.5,73
llama,historical,1300,zeroshot,Accuracy,82,67,61.5,81,74.5,74.5
Mistral-Small-24B,historical,1300,zeroshot,Accuracy,78.5,78.5,68.5,81.5,80.5,69.5
mixtral,historical,1300,zeroshot,Accuracy,79.5,81,67.5,82.5,79.5,75.5
Qwen_2.5_7B,historical,1300,zeroshot,Accuracy,80,77,64.5,70,70,68
,,,,,,,,,,
deepseek_chat,modern,350,zeroshot,Accuracy,78.9116,77.551,81.6327,82.3129,89.1156,74.1497
gemma_2-9b,modern,350,zeroshot,Accuracy,68.7075,54.4218,51.7007,59.8639,67.3469,57.1429
gpt_3.5_turbo,modern,350,zeroshot,Accuracy,71.4286,68.0272,77.551,82.3129,87.0748,66.6667
gpt_4o,modern,350,zeroshot,Accuracy,75.5102,73.4694,77.551,75.5102,89.7959,82.3129
gpt_4,modern,350,zeroshot,Accuracy,60.5442,64.6259,59.1837,78.9116,82.3129,68.7075
llama,modern,350,zeroshot,Accuracy,67.3469,44.2177,60.5442,74.1497,85.034,68.7075
Mistral-Small-24B,modern,350,zeroshot,Accuracy,72.7891,65.9864,76.1905,76.1905,87.0748,72.1088
mixtral,modern,350,zeroshot,Accuracy,70.068,76.1905,72.7891,85.034,81.6327,63.9456
Qwen_2.5_7B,modern,350,zeroshot,Accuracy,61.2245,59.8639,68.7075,70.068,74.1497,57.1429
deepseek_chat,modern,1300,zeroshot,Accuracy,80,80,79.3333,78,88.6667,74
gemma_2-9b,modern,1300,zeroshot,Accuracy,70,51.3333,48,59.3333,70,58
gpt_3.5_turbo,modern,1300,zeroshot,Accuracy,76.6667,67.3333,70,78.6667,86.6667,68
gpt_4o,modern,1300,zeroshot,Accuracy,75.3333,70.6667,76,75.3333,90.6667,81.3333
gpt_4,modern,1300,zeroshot,Accuracy,65.3333,63.3333,59.3333,72.6667,84.6667,70.6667
llama,modern,1300,zeroshot,Accuracy,76,42.6667,54,66.6667,85.3333,71.3333
Mistral-Small-24B,modern,1300,zeroshot,Accuracy,72,60,68,70.6667,86,70
mixtral,modern,1300,zeroshot,Accuracy,74.6667,74,64,80.6667,85.3333,62.6667
Qwen_2.5_7B,modern,1300,zeroshot,Accuracy,65.3333,49.3333,56.6667,56.6667,66,53.3333
,,,,,,,,,,
deepseek_chat,historical,350,oneshot,F1,82.0755,46.6667,62.1212,32.2581,61.5385,66.6667
gemma_2-9b,historical,350,oneshot,F1,77.5862,23.5294,58.5366,36,46.5517,64.5963
gpt_3.5_turbo,historical,350,oneshot,F1,80,29.6296,54.5455,44.6154,58.9147,62.6866
gpt_4o,historical,350,oneshot,F1,82.7907,65,64.9682,45.7143,69.4215,71.3287
gpt_4,historical,350,oneshot,F1,81.6514,41.0256,60.5128,21.0526,62.4,65.4545
llama,historical,350,oneshot,F1,75.9358,24.3243,53.4759,34.375,55.5556,54.5455
Mistral-Small-24B,historical,350,oneshot,F1,80.1887,46.8085,57.8125,27.5862,61.9048,65.0888
mixtral,historical,350,oneshot,F1,71.2766,10.5263,47.1429,19.4444,42.8571,52.0325
Qwen_2.5_7B,historical,350,oneshot,F1,73.4177,24.2424,50.8108,36.7347,47.5,48
deepseek_chat,historical,1300,oneshot,F1,83.5681,50,68.0272,37.6812,67.8571,70.8333
gemma_2-9b,historical,1300,oneshot,F1,77.6371,33.3333,57.8199,34.6154,55.5556,63.0303
gpt_3.5_turbo,historical,1300,oneshot,F1,82.0276,38.4615,57.1429,39.5604,57.8947,59.6774
gpt_4o,historical,1300,oneshot,F1,83.1776,72.3404,66.6667,45.3333,69.2913,73.9726
gpt_4,historical,1300,oneshot,F1,81.982,43.6782,61,32.2581,65.625,67.8788
llama,historical,1300,oneshot,F1,76.6839,38.4615,59.8039,40.9639,58.5714,61.6438
Mistral-Small-24B,historical,1300,oneshot,F1,80.9302,61.2903,63.9456,44.7761,67.7165,65.5172
mixtral,historical,1300,oneshot,F1,75.9777,25,51.7483,37.5,52.8302,66.6667
Qwen_2.5_7B,historical,1300,oneshot,F1,74.477,35.2941,55.8376,36.25,43.038,55.5556
,,,,,,,,,,
deepseek_chat,modern,350,oneshot,F1,81.0127,50.7463,65.7143,54.8387,65.3846,69.1589
gemma_2-9b,modern,350,oneshot,F1,69.5122,38.5542,41.4815,32.9897,50.7042,62.7737
gpt_3.5_turbo,modern,350,oneshot,F1,72.619,44.2105,40,33.3333,53.5714,58.9286
gpt_4o,modern,350,oneshot,F1,79.2899,57.1429,61.1765,54.2857,75.4098,75
gpt_4,modern,350,oneshot,F1,59.6026,39.1304,45.283,45.8333,59.0164,51.9231
llama,modern,350,oneshot,F1,66.1654,41.7391,43.1034,45.7143,46.6667,55.2381
Mistral-Small-24B,modern,350,oneshot,F1,75.9494,41.1765,55.3846,42.8571,60.3774,65.5462
mixtral,modern,350,oneshot,F1,65.6716,14.5455,37.5,32.7273,28.5714,39.5833
Qwen_2.5_7B,modern,350,oneshot,F1,66.6667,35.7143,43.0769,40,47.619,41.0256
deepseek_chat,modern,1300,oneshot,F1,82.1429,59.7403,60.5263,51.3514,67.8571,70.8661
gemma_2-9b,modern,1300,oneshot,F1,73.3333,43.8095,40.5594,35.1852,56.7568,65.7718
gpt_3.5_turbo,modern,1300,oneshot,F1,75.4491,54.1667,39.3162,38.3562,56,60.3448
gpt_4o,modern,1300,oneshot,F1,79.5455,57.6923,61.5385,52.7778,79.4118,77.7778
gpt_4,modern,1300,oneshot,F1,68.2927,47.7064,46.5517,46.875,61.2903,61.7886
llama,modern,1300,oneshot,F1,76.5101,45.6693,43.2,41.7582,52.7778,60.3175
Mistral-Small-24B,modern,1300,oneshot,F1,76.4706,52.1739,46.7532,38.2353,62.069,65.1515
mixtral,modern,1300,oneshot,F1,68.9189,43.6782,47.8261,29.0909,37.037,53.0973
Qwen_2.5_7B,modern,1300,oneshot,F1,72.6115,22.2222,36.7347,34.8837,11.4286,52.5424
,,,,,,,,,,
,,,,,,,,,,
deepseek_chat,historical,350,zeroshot,F1,83.2536,41.3793,61.5385,24,58.5859,67.2
gemma_2-9b,historical,350,zeroshot,F1,78.5714,32.967,61.165,44.2105,55.1724,63.8554
gpt_3.5_turbo,historical,350,zeroshot,F1,82.8571,38.0952,39.6694,37.3333,56.3636,50
gpt_4o,historical,350,zeroshot,F1,82.7907,63.4146,68,43.4783,67.7686,70.4225
gpt_4,historical,350,zeroshot,F1,82.8829,53.125,61.165,26.9231,62.2951,67.0732
llama,historical,350,zeroshot,F1,76.3441,33.6449,59.6685,20,55.2846,50.3937
Mistral-Small-24B,historical,350,zeroshot,F1,81.0811,38.0952,56.9697,20.6897,66.129,63.2768
mixtral,historical,350,zeroshot,F1,77.1739,23.2558,60.9756,31.8182,50.5051,54.6875
Qwen_2.5_7B,historical,350,zeroshot,F1,79.1667,40,44.0678,44.4444,43.75,45.4545
deepseek_chat,historical,1300,zeroshot,F1,83.2536,56.25,68.0851,26.4151,64.7619,72.5926
gemma_2-9b,historical,1300,zeroshot,F1,79.646,37.6238,61.9048,44.6602,58.1081,63.1579
gpt_3.5_turbo,historical,1300,zeroshot,F1,84.2105,49.0566,51.7986,36.8421,60.8696,58.4615
gpt_4o,historical,1300,zeroshot,F1,83.1776,73.913,68.7898,47.8873,68.8,71.3287
gpt_4,historical,1300,zeroshot,F1,83.105,50,61.9048,39.3939,64.5669,68.2353
llama,historical,1300,zeroshot,F1,81.4433,36.5385,59.6859,34.4828,59.2,61.6541
Mistral-Small-24B,historical,1300,zeroshot,F1,80.8889,46.9136,64,44.7761,69.2913,65.5367
mixtral,historical,1300,zeroshot,F1,77.095,29.6296,63.6872,38.5965,61.6822,65.7343
Qwen_2.5_7B,historical,1300,zeroshot,F1,80.3922,39.4737,49.6454,37.5,48.2759,48.3871
,,,,,,,,,,
,,,,,,,,,,
deepseek_chat,modern,350,zeroshot,F1,80,45.9016,59.7015,48,68,62.7451
gemma_2-9b,modern,350,zeroshot,F1,72.2892,46.4,44.9612,36.5591,45.4545,57.7181
gpt_3.5_turbo,modern,350,zeroshot,F1,69.5652,43.3735,47.619,35,53.6585,43.6782
gpt_4o,modern,350,zeroshot,F1,78.5714,56.1798,62.069,50,75.4098,76.7857
gpt_4,modern,350,zeroshot,F1,63.75,46.9388,45.4545,47.4576,55.1724,56.6038
llama,modern,350,zeroshot,F1,60.6557,45.3333,48.2143,44.1176,56,51.0638
Mistral-Small-24B,modern,350,zeroshot,F1,77.0115,41.8605,58.8235,46.1538,67.7966,68.7023
mixtral,modern,350,zeroshot,F1,65.0794,49.2754,50,42.1053,27.027,43.0108
Qwen_2.5_7B,modern,350,zeroshot,F1,58.3942,30.5882,42.5,37.1429,34.4828,29.2135
deepseek_chat,modern,1300,zeroshot,F1,81.9277,57.1429,58.6667,45.9016,67.9245,66.6667
gemma_2-9b,modern,1300,zeroshot,F1,74.5763,47.482,43.4783,39.604,51.6129,60.3774
gpt_3.5_turbo,modern,1300,zeroshot,F1,77.4194,49.4845,45.7831,36,58.3333,57.8947
gpt_4o,modern,1300,zeroshot,F1,79.096,56.8627,60,50.6667,78.7879,77.7778
gpt_4,modern,1300,zeroshot,F1,69.0476,52.9915,47.8632,45.3333,62.2951,64.5161
llama,modern,1300,zeroshot,F1,75.6757,45.5696,42.9752,41.8605,63.3333,63.2479
Mistral-Small-24B,modern,1300,zeroshot,F1,76.9231,47.3684,52,45,64.4068,68.5315
mixtral,modern,1300,zeroshot,F1,72.8571,56.1798,47.0588,45.283,50,51.7241
Qwen_2.5_7B,modern,1300,zeroshot,F1,69.0476,35.5932,36.8932,31.5789,38.5542,42.623
,,,,,,,,,,
,,,,,,,,,,
deepseek_chat,historical,1300,oneshot,Precision,74.1667,80,61.7284,36.1111,62.2951,62.963
deepseek_chat,historical,1300,zeroshot,Precision,75,90,64,35,62.963,68.0556
deepseek_chat,historical,350,oneshot,Precision,73.1092,87.5,62.1212,34.4828,60.3774,63.7681
deepseek_chat,historical,350,zeroshot,Precision,75,85.7143,62.5,35.2941,60.4167,67.7419
deepseek_chat,modern,1300,oneshot,Precision,74.1935,60.5263,52.2727,35.8491,70.3704,61.6438
deepseek_chat,modern,1300,zeroshot,Precision,74.7253,64.5161,51.1628,35,75,61.9048
deepseek_chat,modern,350,oneshot,Precision,74.4186,58.6207,58.9744,41.4634,70.8333,67.2727
deepseek_chat,modern,350,zeroshot,Precision,74.6988,60.8696,55.5556,41.3793,77.2727,64
gemma_2-9b,historical,1300,oneshot,Precision,63.8889,22.5806,42.069,25.3521,46.6667,50.9804
gemma_2-9b,historical,1300,zeroshot,Precision,67.6692,24.0506,45.1389,32.8571,44.3299,50
gemma_2-9b,historical,350,oneshot,Precision,64.2857,17.0213,42.8571,26.8657,41.5385,52.5253
gemma_2-9b,historical,350,zeroshot,Precision,67.1756,21.7391,45,33.871,42.5532,51.4563
gemma_2-9b,modern,1300,oneshot,Precision,62.8571,34.8485,26.1261,21.8391,46.6667,51.5789
gemma_2-9b,modern,1300,zeroshot,Precision,64.7059,33,28.3019,25,37.5,45.7143
gemma_2-9b,modern,350,oneshot,Precision,61.9565,35.5556,26.9231,21.0526,41.8605,50.5882
gemma_2-9b,modern,350,zeroshot,Precision,63.8298,33.3333,29.5918,23.6111,33.3333,44.3299
gpt_3.5_turbo,historical,1300,oneshot,Precision,71.7742,33.3333,50,31.0345,52.381,60.6557
gpt_3.5_turbo,historical,1300,zeroshot,Precision,75.8621,41.9355,49.3151,32.5581,54.6875,56.7164
gpt_3.5_turbo,historical,350,oneshot,Precision,67.1533,25,43.6364,29.8969,48.7179,59.1549
gpt_3.5_turbo,historical,350,zeroshot,Precision,74.359,40,43.6364,33.3333,52.5424,54.717
gpt_3.5_turbo,modern,1300,oneshot,Precision,68.4783,45.614,27.0588,26.9231,66.6667,56.4516
gpt_3.5_turbo,modern,1300,zeroshot,Precision,75,41.3793,37.2549,31.0345,73.6842,55
gpt_3.5_turbo,modern,350,oneshot,Precision,63.5417,36.8421,26.5957,21.7391,53.5714,55
gpt_3.5_turbo,modern,350,zeroshot,Precision,72.7273,40,46.875,36.8421,84.6154,54.2857
gpt_4o,historical,1300,oneshot,Precision,73.5537,68,56.25,40.4762,57.8947,65.0602
gpt_4o,historical,1300,zeroshot,Precision,73.5537,70.8333,59.3407,44.7368,58.1081,63.75
gpt_4o,historical,350,oneshot,Precision,72.9508,72.2222,56.044,43.2432,60,63.75
gpt_4o,historical,350,zeroshot,Precision,72.9508,68.4211,60.7143,41.6667,58.5714,63.2911
gpt_4o,modern,1300,oneshot,Precision,69.3069,46.1538,47.4576,37.2549,69.2308,68.0556
gpt_4o,modern,1300,zeroshot,Precision,68.6275,46.0317,46.5517,35.1852,70.2703,68.0556
gpt_4o,modern,350,oneshot,Precision,69.0722,49.0566,48.1481,38.7755,69.697,70
gpt_4o,modern,350,zeroshot,Precision,68.75,49.0196,48.2143,35.2941,69.697,71.6667
gpt_4,historical,1300,oneshot,Precision,70.5426,29.2308,45.5224,34.4828,54.5455,54.902
gpt_4,historical,1300,zeroshot,Precision,72.2222,36,45.1389,39.3939,53.9474,54.2056
gpt_4,historical,350,oneshot,Precision,71.2,28.5714,45.7364,25,52.7027,52.9412
gpt_4,historical,350,zeroshot,Precision,71.3178,40.4762,45,36.8421,53.5211,54.4554
gpt_4,modern,1300,oneshot,Precision,62.9213,37.1429,32.1429,34.8837,57.5758,55.0725
gpt_4,modern,1300,zeroshot,Precision,62.3656,39.7436,32.9412,31.4815,59.375,57.1429
gpt_4,modern,350,oneshot,Precision,56.962,33.3333,32,40.7407,54.5455,51.9231
gpt_4,modern,350,zeroshot,Precision,57.9545,38.3333,31.6456,36.8421,53.3333,55.5556
llama,historical,1300,oneshot,Precision,74,26.7857,44.2029,34,46.0674,54.2169
llama,historical,1300,zeroshot,Precision,78.2178,23.1707,45.6,40,50,58.5714
llama,historical,350,oneshot,Precision,75.5319,17.3077,41.3223,35.4839,46.6667,52.1739
llama,historical,350,zeroshot,Precision,76.3441,21.1765,46.9565,29.4118,47.2222,50
llama,modern,1300,oneshot,Precision,77.027,32.9545,29.0323,27.1429,44.186,52.7778
llama,modern,1300,zeroshot,Precision,76.7123,30.2521,29.2135,27.6923,61.2903,58.7302
llama,modern,350,oneshot,Precision,72.1311,31.1688,29.4118,32.6531,43.75,54.717
llama,modern,350,zeroshot,Precision,74,30.3571,33.3333,31.9149,63.6364,57.1429
Mistral-Small-24B,historical,1300,oneshot,Precision,71.3115,47.5,58.0247,44.1176,56.5789,51.3514
Mistral-Small-24B,historical,1300,zeroshot,Precision,68.9394,32.2034,51.3761,44.1176,57.8947,50.8772
Mistral-Small-24B,historical,350,oneshot,Precision,70.8333,42.3077,58.7302,32,52,51.4019
Mistral-Small-24B,historical,350,zeroshot,Precision,69.2308,29.2683,47.4747,24,56.1644,49.1228
Mistral-Small-24B,modern,1300,oneshot,Precision,68.4211,45.283,40,27.6596,62.069,55.1282
Mistral-Small-24B,modern,1300,zeroshot,Precision,65.4206,36,38.2353,30.5085,63.3333,55.0562
Mistral-Small-24B,modern,350,oneshot,Precision,69.7674,46.6667,52.9412,34.2857,64,58.209
Mistral-Small-24B,modern,350,zeroshot,Precision,65.6863,37.5,46.2963,34.0909,64.5161,56.962
mixtral,historical,1300,oneshot,Precision,79.0698,23.0769,48.0519,38.7097,50.9091,65.1515
mixtral,historical,1300,zeroshot,Precision,80.2326,25,50.4425,45.8333,58.9286,58.75
mixtral,historical,350,oneshot,Precision,70.5263,12.5,44.5946,17.9487,44.6809,53.3333
mixtral,historical,350,zeroshot,Precision,78.022,23.8095,51.0204,63.6364,52.0833,53.8462
mixtral,modern,1300,oneshot,Precision,69.863,39.5833,36.6667,23.5294,40,50.8475
mixtral,modern,1300,zeroshot,Precision,78.4615,50,34.2857,37.5,73.3333,48.3871
mixtral,modern,350,oneshot,Precision,70.9677,23.5294,30.6122,26.4706,42.8571,43.1818
mixtral,modern,350,zeroshot,Precision,75.9259,54.8387,40.8163,47.0588,55.5556,48.7805
Qwen_2.5_7B,historical,1300,oneshot,Precision,60.9589,50,41.9847,22.8346,60.7143,42.735
Qwen_2.5_7B,historical,1300,zeroshot,Precision,73.8739,27.7778,46.6667,28.5714,43.0769,49.1803
Qwen_2.5_7B,historical,350,oneshot,Precision,60.4167,36.3636,39.4958,23.6842,65.5172,37.5
Qwen_2.5_7B,historical,350,zeroshot,Precision,76.7677,33.3333,50,37.5,46.6667,53.1915
Qwen_2.5_7B,modern,1300,oneshot,Precision,69.5122,40,27.2727,23.0769,33.3333,48.4375
Qwen_2.5_7B,modern,1300,zeroshot,Precision,62.3656,26.5823,26.7606,20.2703,29.6296,38.2353
Qwen_2.5_7B,modern,350,oneshot,Precision,75.4386,55.5556,41.1765,30.7692,71.4286,61.5385
Qwen_2.5_7B,modern,350,zeroshot,Precision,61.5385,27.6596,34.6939,26.5306,33.3333,35.1351
deepseek_chat,historical,1300,oneshot,Recall,95.6989,36.3636,75.7576,39.3939,74.5098,80.9524
deepseek_chat,historical,1300,zeroshot,Recall,93.5484,40.9091,72.7273,21.2121,66.6667,77.7778
deepseek_chat,historical,350,oneshot,Recall,93.5484,31.8182,62.1212,30.303,62.7451,69.8413
deepseek_chat,historical,350,zeroshot,Recall,93.5484,27.2727,60.6061,18.1818,56.8627,66.6667
deepseek_chat,modern,1300,oneshot,Recall,92,58.9744,71.875,90.4762,65.5172,83.3333
deepseek_chat,modern,1300,zeroshot,Recall,90.6667,51.2821,68.75,66.6667,62.069,72.2222
deepseek_chat,modern,350,oneshot,Recall,88.8889,44.7368,74.1935,80.9524,60.7143,71.1538
deepseek_chat,modern,350,zeroshot,Recall,86.1111,36.8421,64.5161,57.1429,60.7143,61.5385
gemma_2-9b,historical,1300,oneshot,Recall,98.9247,63.6364,92.4242,54.5455,68.6275,82.5397
gemma_2-9b,historical,1300,zeroshot,Recall,96.7742,86.3636,98.4848,69.697,84.3137,85.7143
gemma_2-9b,historical,350,oneshot,Recall,97.8261,38.0952,92.3077,54.5455,52.9412,83.871
gemma_2-9b,historical,350,zeroshot,Recall,94.6237,68.1818,95.4545,63.6364,78.4314,84.127
gemma_2-9b,modern,1300,oneshot,Recall,88,58.9744,90.625,90.4762,72.4138,90.7407
gemma_2-9b,modern,1300,zeroshot,Recall,88,84.6154,93.75,95.2381,82.7586,88.8889
gemma_2-9b,modern,350,oneshot,Recall,79.1667,42.1053,90.3226,76.1905,64.2857,82.6923
gemma_2-9b,modern,350,zeroshot,Recall,83.3333,76.3158,93.5484,80.9524,71.4286,82.6923
gpt_3.5_turbo,historical,1300,oneshot,Recall,95.6989,45.4545,66.6667,54.5455,64.7059,58.7302
gpt_3.5_turbo,historical,1300,zeroshot,Recall,94.6237,59.0909,54.5455,42.4242,68.6275,60.3175
gpt_3.5_turbo,historical,350,oneshot,Recall,98.9247,36.3636,72.7273,87.8788,74.5098,66.6667
gpt_3.5_turbo,historical,350,zeroshot,Recall,93.5484,36.3636,36.3636,42.4242,60.7843,46.0317
gpt_3.5_turbo,modern,1300,oneshot,Recall,84,66.6667,71.875,66.6667,48.2759,64.8148
gpt_3.5_turbo,modern,1300,zeroshot,Recall,80,61.5385,59.375,42.8571,48.2759,61.1111
gpt_3.5_turbo,modern,350,oneshot,Recall,84.7222,55.2632,80.6452,71.4286,53.5714,63.4615
gpt_3.5_turbo,modern,350,zeroshot,Recall,66.6667,47.3684,48.3871,33.3333,39.2857,36.5385
gpt_4o,historical,1300,oneshot,Recall,95.6989,77.2727,81.8182,51.5152,86.2745,85.7143
gpt_4o,historical,1300,zeroshot,Recall,95.6989,77.2727,81.8182,51.5152,84.3137,80.9524
gpt_4o,historical,350,oneshot,Recall,95.6989,59.0909,77.2727,48.4848,82.3529,80.9524
gpt_4o,historical,350,zeroshot,Recall,95.6989,59.0909,77.2727,45.4545,80.3922,79.3651
gpt_4o,modern,1300,oneshot,Recall,93.3333,76.9231,87.5,90.4762,93.1034,90.7407
gpt_4o,modern,1300,zeroshot,Recall,93.3333,74.359,84.375,90.4762,89.6552,90.7407
gpt_4o,modern,350,oneshot,Recall,93.0556,68.4211,83.871,90.4762,82.1429,80.7692
gpt_4o,modern,350,zeroshot,Recall,91.6667,65.7895,87.0968,85.7143,82.1429,82.6923
gpt_4,historical,1300,oneshot,Recall,97.8495,86.3636,92.4242,30.303,82.3529,88.8889
gpt_4,historical,1300,zeroshot,Recall,97.8495,81.8182,98.4848,39.3939,80.3922,92.0635
gpt_4,historical,350,oneshot,Recall,95.6989,72.7273,89.3939,18.1818,76.4706,85.7143
gpt_4,historical,350,zeroshot,Recall,98.9247,77.2727,95.4545,21.2121,74.5098,87.3016
gpt_4,modern,1300,oneshot,Recall,74.6667,66.6667,84.375,71.4286,65.5172,70.3704
gpt_4,modern,1300,zeroshot,Recall,77.3333,79.4872,87.5,80.9524,65.5172,74.0741
gpt_4,modern,350,oneshot,Recall,62.5,47.3684,77.4194,52.381,64.2857,51.9231
gpt_4,modern,350,zeroshot,Recall,70.8333,60.5263,80.6452,66.6667,57.1429,57.6923
llama,historical,1300,oneshot,Recall,79.5699,68.1818,92.4242,51.5152,80.3922,71.4286
llama,historical,1300,zeroshot,Recall,84.9462,86.3636,86.3636,30.303,72.549,65.0794
llama,historical,350,oneshot,Recall,76.3441,40.9091,75.7576,33.3333,68.6275,57.1429
llama,historical,350,zeroshot,Recall,76.3441,81.8182,81.8182,15.1515,66.6667,50.7937
llama,modern,1300,oneshot,Recall,76,74.359,84.375,90.4762,65.5172,70.3704
llama,modern,1300,zeroshot,Recall,74.6667,92.3077,81.25,85.7143,65.5172,68.5185
llama,modern,350,oneshot,Recall,61.1111,63.1579,80.6452,76.1905,50,55.7692
llama,modern,350,zeroshot,Recall,51.3889,89.4737,87.0968,71.4286,50,46.1538
Mistral-Small-24B,historical,1300,oneshot,Recall,93.5484,86.3636,71.2121,45.4545,84.3137,90.4762
Mistral-Small-24B,historical,1300,zeroshot,Recall,97.8495,86.3636,84.8485,45.4545,86.2745,92.0635
Mistral-Small-24B,historical,350,oneshot,Recall,92.3913,52.381,56.9231,24.2424,76.4706,88.7097
Mistral-Small-24B,historical,350,zeroshot,Recall,97.8261,54.5455,71.2121,18.1818,80.3922,88.8889
Mistral-Small-24B,modern,1300,oneshot,Recall,86.6667,61.5385,56.25,61.9048,62.069,79.6296
Mistral-Small-24B,modern,1300,zeroshot,Recall,93.3333,69.2308,81.25,85.7143,65.5172,90.7407
Mistral-Small-24B,modern,350,oneshot,Recall,83.3333,36.8421,58.0645,57.1429,57.1429,75
Mistral-Small-24B,modern,350,zeroshot,Recall,93.0556,47.3684,80.6452,71.4286,71.4286,86.5385
mixtral,historical,1300,oneshot,Recall,73.1183,27.2727,56.0606,36.3636,54.902,68.254
mixtral,historical,1300,zeroshot,Recall,74.1935,36.3636,86.3636,33.3333,64.7059,74.6032
